# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,year,cbsa_code
365,281,76,8,.,.,143,67.0,43.0,.,23,292,.,50,.,2005,26020
365,140,195,29,.,1,874,97.0,55.0,.,5,204,.,37,119,2005,29740
115,115,.,.,.,.,44,20.0,10.0,.,.,.,.,115,.,2005,31060
124,113,11,.,.,.,62,48.0,24.5,.,.,.,.,121,3,2005,40740
112,112,.,.,.,.,47,28.0,11.0,.,.,.,.,112,.,2005,40760
365,363,2,.,.,.,52,28.0,15.0,31,.,.,.,329,5,2005,42140
362,293,65,4,.,.,115,64.0,39.5,.,.,260,65,34,3,2005,43500
356,352,4,.,.,.,62,30.0,16.0,.,.,.,.,323,33,2005,45340
365,258,87,17,3,.,187,80.0,43.0,1,.,295,13,56,.,2005,10580
365,189,124,47,5,.,195,109.0,49.0,.,72,166,67,60,.,2005,15380
340,235,103,2,.,.,123,69.0,33.0,.,.,.,.,340,.,2005,18500
361,324,34,3,.,.,119,51.0,33.0,.,.,314,47,.,.,2005,21300
363,285,66,10,2,.,151,77.0,40.0,.,.,331,.,32,.,2005,27060
365,240,91,27,7,.,179,100.0,44.0,.,.,278,47,40,.,2005,27460
359,306,42,11,.,.,147,58.0,40.0,.,.,355,4,.,.,2005,28740
365,313,38,12,2,.,156,61.0,23.0,.,.,178,96,.,91,2005,31660
365,68,221,54,19,3,217,129.0,66.0,.,58,113,71,122,1,2005,35620
111,87,24,.,.,.,98,63.0,24.0,.,.,.,.,111,.,2005,36300
365,285,67,13,.,.,147,75.0,36.0,3,.,238,51,73,.,2005,40380
365,277,66,20,2,.,166,84.0,42.0,5,.,322,11,27,.,2005,45060
365,325,36,4,.,.,133,51.0,35.0,.,.,360,5,.,.,2005,46540
217,164,36,14,3,.,187,93.0,41.0,.,.,217,.,.,.,2005,48060
362,143,186,32,1,.,154,97.0,55.0,.,.,149,.,213,.,2005,11700
118,65,51,1,1,.,158,78.0,46.0,.,.,.,.,118,.,2005,14380
118,52,65,1,.,.,110,79.0,54.0,.,.,.,.,118,.,2005,15500
365,93,201,56,14,1,206,126.0,64.0,.,6,144,16,199,.,2005,16740
126,67,56,3,.,.,108,74.0,48.5,.,.,26,.,100,.,2005,19000
348,144,176,28,.,.,150,100.0,53.0,.,.,119,.,229,.,2005,20500
365,240,91,26,8,.,182,100.0,44.0,104,.,179,.,82,.,2005,22180
114,60,53,1,.,.,110,74.0,50.0,.,.,.,.,112,2,2005,24140
365,147,193,23,2,.,172,96.0,55.0,8,.,123,.,234,.,2005,24660
259,158,86,14,1,.,156,84.0,46.0,.,.,174,.,85,.,2005,24780
268,124,128,16,.,.,143,93.0,53.0,.,.,167,.,100,1,2005,25860
120,76,43,1,.,.,117,67.5,41.0,.,.,.,.,119,1,2005,27340
255,149,87,17,2,.,167,90.0,47.0,.,.,172,.,83,.,2005,28820
117,63,54,.,.,.,98,70.0,47.0,.,.,.,.,117,.,2005,31300
121,45,74,2,.,.,110,82.0,55.0,.,.,.,.,121,.,2005,32000
359,287,70,2,.,.,143,67.0,38.0,.,.,359,.,.,.,2005,33980
119,64,54,1,.,.,121,72.0,49.0,.,.,.,.,119,.,2005,34820
213,90,78,42,3,.,172,122.0,58.0,.,.,213,.,.,.,2005,37080
365,147,172,40,6,.,182,108.0,55.0,.,.,159,4,202,.,2005,39580
264,146,100,17,1,.,156,87.0,48.0,.,.,181,.,82,1,2005,40580
365,162,183,19,1,.,151,87.0,53.0,.,.,137,39,189,.,2005,47260
351,324,22,5,.,.,125,44.0,6.0,.,.,.,351,.,.,2005,47820
365,268,87,10,.,.,147,70.0,37.0,.,.,167,130,68,.,2005,48900
365,131,192,39,3,.,159,103.0,58.0,1,14,104,28,212,6,2005,49180
365,316,46,3,.,.,119,55.0,35.0,.,12,253,70,28,2,2005,13900
352,335,17,.,.,.,74,48.0,36.0,.,.,338,.,14,.,2005,19860
362,321,40,.,1,.,154,51.0,34.0,.,18,271,.,51,22,2005,22020
364,287,61,14,2,.,154,76.0,16.0,.,.,.,364,.,.,2005,48780
365,143,148,65,8,1,202,120.0,59.0,4,.,139,141,81,.,2005,10420
362,279,53,23,7,.,197,90.0,34.0,.,.,207,155,.,.,2005,11780
61,31,26,3,1,.,194,90.0,50.0,.,.,.,.,61,.,2005,11900
342,266,53,23,.,.,147,80.0,36.0,.,.,342,.,.,.,2005,15340
361,213,114,30,3,1,201,97.0,45.0,100,.,166,.,95,.,2005,15940
365,98,157,88,19,3,208,139.0,73.0,.,28,112,165,60,.,2005,17140
365,83,162,99,20,1,214,134.0,76.0,1,12,91,165,73,23,2005,17460
365,196,119,43,6,1,201,112.0,48.0,10,.,175,37,76,67,2005,18140
365,200,125,38,2,.,174,101.0,47.0,97,.,180,.,88,.,2005,19380
61,61,.,.,.,.,42,32.0,23.0,.,.,.,.,.,61,2005,22300
365,143,186,34,2,.,173,100.0,57.0,.,26,135,114,89,1,2005,26580
358,265,70,21,2,.,159,87.0,33.0,.,.,209,127,.,22,2005,30620
234,140,64,24,6,.,179,108.0,48.0,.,.,211,.,.,23,2005,31930
213,128,66,17,2,.,190,100.0,46.0,.,.,213,.,.,.,2005,34540
349,287,58,3,1,.,200,59.0,30.0,.,.,.,349,.,.,2005,35420
345,293,41,10,1,.,154,64.0,23.0,.,.,.,345,.,.,2005,38580
365,224,136,5,.,.,133,79.0,43.0,.,.,.,125,99,141,2005,39020
357,266,69,22,.,.,149,85.0,24.0,.,.,.,315,.,42,2005,41400
365,218,117,25,5,.,177,93.0,45.0,.,.,181,110,74,.,2005,44220
365,184,141,34,5,1,203,105.0,49.0,.,.,146,92,73,54,2005,45780
353,261,64,26,2,.,156,93.0,38.0,.,.,353,.,.,.,2005,47920
365,43,152,150,20,.,200,136.0,93.0,1,.,46,290,28,.,2005,48260
365,98,159,98,10,.,200,123.0,74.0,.,.,97,227,41,.,2005,48540
214,113,65,33,3,.,179,119.0,49.0,.,.,214,.,.,.,2005,48940
365,129,189,40,7,.,177,110.0,58.0,.,.,148,33,184,.,2005,49660
