year,cbsa_code,PM2.5_sample_duration,PM2.5_arithmetic_mean,PM2.5_standard_deviation,PM2.5_ninety_ninth_percentile,PM2.5_seventy_fifth_percentile,Ozone_sample_duration,Ozone_arithmetic_mean,Ozone_standard_deviation,Ozone_ninety_ninth_percentile,Ozone_seventy_fifth_percentile,Carbon_monoxide_sample_duration,Carbon_monoxide_arithmetic_mean,Carbon_monoxide_standard_deviation,Carbon_monoxide_ninety_ninth_percentile,Carbon_monoxide_seventy_fifth_percentile,Sulfur_dioxide_sample_duration,Sulfur_dioxide_arithmetic_mean,Sulfur_dioxide_standard_deviation,Sulfur_dioxide_ninety_ninth_percentile,Sulfur_dioxide_seventy_fifth_percentile,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
2019.0,24580.0,0.0,6.8691225,4.557236,22.0,8.65,0.0,0.039050375,0.0101075,0.065625,0.0465,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,0.3932724,0.6890092,2.7800000000000002,0.58,0.852054794520548,0.14794520547945206,0.0,0.0,0.0,97.0,53.0,36.0,0.0,0.0,181.0,4.0,180.0,0.0
2005.0,24660.0,1.0,15.571667,6.893354,33.5,20.4,0.0,0.05333783333333334,0.015529,0.08633333333333332,0.06350000000000001,0.0,0.7223310000000001,0.3437825,1.7999999999999998,0.9,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.40273972602739727,0.5287671232876713,0.06301369863013699,0.005479452054794521,0.0,172.0,96.0,55.0,8.0,0.0,123.0,0.0,234.0,0.0
2006.0,24660.0,0.0,16.252206666666666,8.541769333333333,43.800000000000004,21.2,0.0,0.054088625,0.01416625,0.08487499999999999,0.0635,0.0,0.7862305,0.4189215,2.1500000000000004,1.0,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.5287671232876713,0.3835616438356164,0.07945205479452055,0.00821917808219178,0.0,156.0,97.0,48.0,62.0,0.0,136.0,0.0,166.0,1.0
2007.0,24660.0,0.0,14.137995,7.4788245,35.45,18.6,0.0,0.057385875,0.015405374999999999,0.08825,0.067875,0.0,0.5768074999999999,0.346339,1.7000000000000002,0.75,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.41643835616438357,0.46301369863013697,0.1095890410958904,0.010958904109589041,0.0,195.0,108.0,55.0,20.0,0.0,143.0,0.0,202.0,0.0
2008.0,24660.0,0.0,12.697750500000001,7.0205585,30.5,16.200000000000003,0.0,0.051428625,0.01501375,0.0865,0.062,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.46174863387978143,0.49453551912568305,0.03551912568306011,0.00819672131147541,0.0,161.0,87.0,52.0,0.0,0.0,120.0,0.0,246.0,0.0
2009.0,24660.0,0.0,9.776403,4.5950645,24.1,12.25,0.0,0.045422125,0.01315475,0.07325000000000001,0.05487499999999999,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.6565934065934066,0.32967032967032966,0.013736263736263736,0.0,0.0,115.0,67.0,45.0,0.0,0.0,121.0,0.0,243.0,0.0
2010.0,24660.0,0.0,10.325517000000001,4.9058855,24.1,13.25,0.0,0.053386875,0.01307475,0.08174999999999999,0.06225,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.5439560439560439,0.40384615384615385,0.046703296703296704,0.005494505494505495,0.0,156.0,87.0,48.0,0.0,0.0,148.0,0.0,215.0,1.0
2011.0,24660.0,0.0,9.8467685,5.041941,23.85,12.8,0.0,0.052307124999999996,0.01312025,0.079375,0.061375,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.5945205479452055,0.37534246575342467,0.030136986301369864,0.0,0.0,140.0,84.0,47.0,0.0,0.0,175.0,4.0,186.0,0.0
2012.0,24660.0,0.0,9.129320499999999,4.093643500000001,22.700000000000003,11.2,0.0,0.049323875,0.012294375,0.07987499999999999,0.056999999999999995,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.6978021978021978,0.27472527472527475,0.024725274725274724,0.0027472527472527475,0.0,154.0,68.0,43.0,0.0,0.0,180.0,0.0,184.0,0.0
2013.0,24660.0,0.0,8.246690000000001,4.0645705,21.05,10.6,0.0,0.04312625,0.010495,0.06625,0.0495,0.0,0.57359,0.286423,1.5,0.8,0.0,1.5645304000000002,1.4911002000000002,7.42,2.2199999999999998,0.776536312849162,0.2206703910614525,0.002793296089385475,0.0,0.0,105.0,56.0,40.0,0.0,0.0,151.0,0.0,206.0,1.0
